sweep,value,config_tag,dataset,run_id,fitness,accuracy,n_selected_features,runtime_seconds
umr_k,2.0,final,ColonCancer,2,0.08401576923076927,0.9179487179487179,557,447.2328976672143
umr_k,2.0,final,ColonCancer,3,0.12852384615384627,0.873076923076923,574,446.3953948749695
umr_k,2.0,final,ColonCancer,4,0.10054076923076923,0.9012820512820513,562,444.87935316585936
umr_k,2.0,final,ColonCancer,5,0.16131384615384614,0.8397435897435898,532,443.657745791832
umr_k,4.0,final,Zoo,0,0.025424999999999906,0.9800000000000001,9,159.18524845899083
umr_k,4.0,final,Zoo,1,0.01677500000000001,0.99,11,162.86771783279255
umr_k,4.0,final,Zoo,2,0.022924999999999907,0.9800000000000001,5,163.69955858308822
umr_k,4.0,final,Zoo,3,0.0249535714285714,0.9804761904761905,9,165.35935600008816
umr_k,2.0,final,ColonCancer,6,0.11465230769230762,0.8871794871794872,592,404.83850770792924
umr_k,2.0,final,ColonCancer,7,0.09545884615384616,0.9064102564102564,561,401.86453483300284
umr_k,4.0,final,Zoo,4,0.022453571428571514,0.9804761904761904,5,176.18975483393297
umr_k,4.0,final,Zoo,5,0.03282500000000003,0.97,5,179.42774399998598
umr_k,4.0,final,Zoo,6,0.023549999999999908,0.9800000000000001,6,179.5315493750386
umr_k,4.0,final,Zoo,7,0.022453571428571403,0.9804761904761905,5,178.33028124994598
umr_k,2.0,final,ColonCancer,8,0.11311807692307686,0.8884615384615385,539,393.6152513329871
umr_k,2.0,final,ColonCancer,9,0.11585653846153839,0.885897435897436,579,394.02853666595183
umr_k,4.0,final,Zoo,8,0.022924999999999907,0.9800000000000001,5,175.45455170888454
umr_k,4.0,final,Zoo,9,0.03282500000000003,0.97,5,171.33488808292896
umr_k,4.0,final,Sonar,0,0.11745934959349597,0.8845528455284553,19,351.46499425009824
umr_k,4.0,final,Sonar,3,0.10708246225319401,0.8941927990708478,14,336.58130266703665
umr_k,4.0,final,Sonar,1,0.11784436701509873,0.8846689895470383,22,352.999980624998
umr_k,4.0,final,Sonar,2,0.10657084785133573,0.8945412311265969,13,344.538781167008
umr_k,4.0,final,Sonar,4,0.1078641114982579,0.8940766550522647,18,356.5623923749663
umr_k,4.0,final,Sonar,5,0.1170110336817654,0.8846689895470383,17,357.9118931670673
umr_k,4.0,final,Sonar,6,0.0982171893147504,0.9034843205574912,16,363.3025563340634
umr_k,4.0,final,Sonar,7,0.11678106852497092,0.8849012775842044,17,352.8105371668935
umr_k,4.0,final,Sonar,8,0.0981538908246226,0.9037166085946573,17,343.15960012516007
umr_k,4.0,final,Sonar,9,0.10310975609756091,0.8983739837398375,15,334.0310016658623
umr_k,4.0,final,ColonCancer,0,0.11571653846153838,0.885897435897436,551,445.8785829159897
umr_k,4.0,final,ColonCancer,1,0.14624307692307695,0.8551282051282051,564,444.3474262920208
umr_k,4.0,final,ColonCancer,2,0.08401576923076927,0.9179487179487179,557,445.2414612499997
umr_k,4.0,final,ColonCancer,3,0.12851884615384626,0.873076923076923,573,446.6882190830074
umr_k,4.0,final,ColonCancer,4,0.10054076923076923,0.9012820512820513,562,447.4011943337973
umr_k,4.0,final,ColonCancer,5,0.14621307692307695,0.8551282051282051,558,447.72103875014
umr_k,12.0,final,Zoo,0,0.025424999999999906,0.9800000000000001,9,175.74246483296156
umr_k,12.0,final,Zoo,1,0.025424999999999906,0.9800000000000001,9,177.34614970814437
umr_k,12.0,final,Zoo,2,0.01615000000000001,0.99,10,184.64430516702123
umr_k,12.0,final,Zoo,3,0.026203571428571402,0.9804761904761905,11,183.92824575002305
umr_k,4.0,final,ColonCancer,6,0.11465230769230762,0.8871794871794872,592,431.7101827498991
umr_k,4.0,final,ColonCancer,7,0.09545884615384616,0.9064102564102564,561,429.6877478330862
umr_k,12.0,final,Zoo,4,0.022453571428571514,0.9804761904761904,5,190.70479308301583
umr_k,12.0,final,Zoo,5,0.02417499999999991,0.9800000000000001,7,189.38093566708267
umr_k,4.0,final,ColonCancer,8,0.11311307692307686,0.8884615384615385,538,435.81481962511316
umr_k,4.0,final,ColonCancer,9,0.11584653846153839,0.885897435897436,577,435.0696014580317
umr_k,12.0,final,Zoo,6,0.023549999999999908,0.9800000000000001,6,191.3711089999415
umr_k,12.0,final,Zoo,7,0.025578571428571402,0.9804761904761905,10,190.5267415838316
umr_k,12.0,final,Zoo,8,0.022924999999999907,0.9800000000000001,5,186.0572212501429
umr_k,12.0,final,Zoo,9,0.01615000000000001,0.99,10,184.16164537495933
umr_k,12.0,final,Sonar,4,0.11651103368176541,0.8846689895470383,14,286.3178755841218
umr_k,12.0,final,Sonar,0,0.11784436701509873,0.8846689895470383,22,344.47242612508126
umr_k,12.0,final,Sonar,1,0.11667770034843207,0.8846689895470383,15,348.2360191659536
umr_k,12.0,final,Sonar,2,0.1120150987224158,0.8895470383275261,16,324.8187495409511
umr_k,12.0,final,Sonar,3,0.08950696864111511,0.9131242740998837,21,353.2123109579552
umr_k,12.0,final,Sonar,5,0.11789605110336815,0.8847851335656214,23,352.7105202078819
umr_k,12.0,final,Sonar,6,0.0987171893147504,0.9034843205574912,19,339.8857354160864
