beta,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
0.0,Sonar,0,0.11417770034843207,0.8846689895470383,22,60,158.81906362529844
0.0,Sonar,1,0.10003484320557497,0.8989547038327526,14,60,184.18462783331051
0.0,Zoo,24,0.019799999999999908,0.9800000000000001,5,16,193.39852695772424
0.0,Zoo,26,0.019799999999999908,0.9800000000000001,7,16,192.3449095832184
0.0,Zoo,25,0.00990000000000001,0.99,11,16,194.03369270917028
0.0,Zoo,27,0.019328571428571403,0.9804761904761905,5,16,192.1997454580851
0.0,Zoo,28,0.019799999999999908,0.9800000000000001,8,16,194.06603508302942
0.0,Zoo,29,0.019799999999999908,0.9800000000000001,5,16,194.53813350014389
0.0,Sonar,2,0.09991986062717774,0.8990708478513356,21,60,168.5962205408141
0.0,Sonar,5,0.1045191637630662,0.8944250871080139,21,60,166.991612250451
0.0,Sonar,7,0.09980487804878051,0.8991869918699187,20,60,168.80330795887858
0.0,Sonar,6,0.09520557491289204,0.9038327526132404,22,60,170.96807566657662
0.0,Sonar,3,0.1048641114982579,0.8940766550522647,16,60,177.2726024161093
0.0,Sonar,9,0.11452264808362377,0.8843205574912891,24,60,172.40816991589963
0.0,Sonar,8,0.09532055749128927,0.9037166085946573,17,60,175.45771220792085
0.0,Sonar,4,0.09968989547038327,0.8993031358885017,11,60,186.32740324968472
0.0,Sonar,10,0.10440418118466896,0.894541231126597,18,60,173.65505662513897
0.0,Sonar,15,0.08071777003484325,0.9184668989547038,19,60,204.80498883407563
0.0,Sonar,16,0.10946341463414637,0.8894308943089431,22,60,210.92855045804754
0.0,Sonar,11,0.10969337979094083,0.8891986062717769,16,60,229.27488758368418
0.0,Sonar,13,0.10934843205574914,0.8895470383275261,17,60,226.6187980840914
0.0,Sonar,17,0.10934843205574914,0.8895470383275261,35,60,214.77057641698048
0.0,Sonar,12,0.1048641114982579,0.8940766550522647,16,60,252.53959408402443
0.0,Sonar,14,0.09497560975609758,0.9040650406504065,18,60,249.08153474982828
0.0,Sonar,18,0.09014634146341464,0.9089430894308943,20,60,342.3382042921148
0.0,Sonar,20,0.10474912891986067,0.8941927990708478,22,60,353.6095497501083
0.0,Sonar,22,0.11440766550522653,0.8844367015098722,20,60,350.3833409161307
0.0,Sonar,23,0.1095783972125436,0.88931475029036,22,60,355.3000719589181
0.0,Sonar,25,0.10923344947735189,0.8896631823461092,17,60,341.2007620828226
0.0,Sonar,21,0.1004947735191639,0.8984901277584203,13,60,386.5198859171942
0.0,Sonar,19,0.12326132404181186,0.8754936120789779,14,60,402.07197174988687
0.0,Sonar,24,0.09486062717770034,0.9041811846689896,21,60,368.68609445821494
0.0,Sonar,26,0.10934843205574923,0.889547038327526,16,60,383.07222441677004
0.0,Sonar,27,0.09014634146341464,0.9089430894308943,22,60,362.07185362512246
0.0,Sonar,28,0.10900348432055743,0.8898954703832753,15,60,371.07556120911613
0.0,Sonar,29,0.10911846689895477,0.8897793263646921,20,60,366.2295460831374
0.0,WDBC,3,0.02084210526315796,0.9789473684210526,19,30,805.1181922079995
0.0,WDBC,2,0.0208728458313925,0.9789163173420278,15,30,876.2608224162832
0.0,WDBC,0,0.02433115975780161,0.9754230709517155,11,30,895.5137509168126
0.0,WDBC,1,0.019120633442012123,0.9806862288464524,12,30,880.6693586655892
0.0,WDBC,4,0.022609687936655777,0.9771619313771154,13,30,867.5877225417644
0.0,WDBC,5,0.0208728458313925,0.9789163173420278,16,30,828.168750999961
0.0,WDBC,7,0.019166744294364213,0.9806396522279149,12,30,856.0414907499216
