algorithm,dataset,metric,mean,std,best,worst
COA,KrVsKpEW,accuracy,0.8529421296296297,0.09560294231587545,0.945868544600939,0.5375493935837247
COA,KrVsKpEW,fitness,0.15138729166666662,0.09379246190190554,0.0584472837022131,0.4598261003521126
COA,KrVsKpEW,n_selected_features,20.3,4.927135746726151,33.0,7.0
ECL-SCSO,KrVsKpEW,accuracy,0.8018981970526865,0.08973642043995568,0.9283489827856024,0.6323547535211269
ECL-SCSO,KrVsKpEW,fitness,0.2012064992035546,0.0886841442381034,0.0755069039235412,0.3691116511569414
ECL-SCSO,KrVsKpEW,n_selected_features,17.8,2.7976180344476385,24.0,13.0
GA,KrVsKpEW,accuracy,0.620108225743349,0.044825275295609465,0.7365478286384977,0.5337905907668231
GA,KrVsKpEW,fitness,0.38022618984741785,0.04369248473687613,0.266531935362173,0.4635473151408451
GA,KrVsKpEW,n_selected_features,14.466666666666667,3.2937651538761665,20.0,7.0
GWO,KrVsKpEW,accuracy,0.6817389964788733,0.07447816028620872,0.8329166666666665,0.5466221635367762
GWO,KrVsKpEW,fitness,0.3196402982478202,0.07311702042247813,0.1716982142857144,0.4517012009557344
GWO,KrVsKpEW,n_selected_features,15.966666666666667,2.960668092771555,22.0,10.0
HHO,KrVsKpEW,accuracy,0.8454848395931143,0.1814239655768876,0.9405540884194054,0.0
HHO,KrVsKpEW,fitness,0.16037000880281688,0.1791181898228121,0.0688514524647887,1.0
HHO,KrVsKpEW,n_selected_features,24.733333333333334,9.132116707289475,35.0,0.0
OOA,KrVsKpEW,accuracy,0.9191081279342723,0.04759184538401646,0.9483729460093896,0.7049462050078248
OOA,KrVsKpEW,fitness,0.08835914382126084,0.04614507682159691,0.057967926307847,0.2963889713279677
OOA,KrVsKpEW,n_selected_features,28.966666666666665,7.217956004915027,35.0,15.0
PSO,KrVsKpEW,accuracy,0.7553515095200835,0.0948373373895146,0.9339769170579032,0.5988732394366197
PSO,KrVsKpEW,fitness,0.24720200557511735,0.09345142329386173,0.0713628521126759,0.401686921529175
PSO,KrVsKpEW,n_selected_features,17.5,2.6299556396765835,23.0,13.0
RG-SCSO,KrVsKpEW,accuracy,0.9434817586071987,0.005308168089171244,0.9590116392801252,0.9349217527386544
RG-SCSO,KrVsKpEW,fitness,0.06033401135982556,0.005144825722966041,0.0448641913983902,0.0678560362173036
RG-SCSO,KrVsKpEW,n_selected_features,15.333333333333334,3.5245173034363475,26.0,9.0
RIME,KrVsKpEW,accuracy,0.7824586756651016,0.10173048939503386,0.9383568075117372,0.5719693857589985
RIME,KrVsKpEW,fitness,0.220327815853454,0.10034530721484188,0.0655981891348087,0.4277503080985915
RIME,KrVsKpEW,n_selected_features,17.366666666666667,2.344970978261541,24.0,13.0
SCSO,KrVsKpEW,accuracy,0.8296940532081378,0.09695669341214655,0.936486208920188,0.6013761737089202
SCSO,KrVsKpEW,fitness,0.17399336351441977,0.0955388506235858,0.0677357960261568,0.398637588028169
SCSO,KrVsKpEW,n_selected_features,18.866666666666667,2.8134597128012255,25.0,13.0
SSA,KrVsKpEW,accuracy,0.8518261117631717,0.17376884924467995,0.9405540884194054,0.0
SSA,KrVsKpEW,fitness,0.15424453030684102,0.17176827886417587,0.0688514524647887,1.0
SSA,KrVsKpEW,n_selected_features,25.266666666666666,8.996048515258735,35.0,0.0
WOA,KrVsKpEW,accuracy,0.8824994457485655,0.09352341689796022,0.9383616979655712,0.5660225938967136
WOA,KrVsKpEW,fitness,0.12510650108987253,0.09074205427952083,0.0696455105633802,0.4316376320422535
WOA,KrVsKpEW,n_selected_features,30.733333333333334,6.9662679311729665,35.0,7.0
AOA,Leukemia,accuracy,0.9625396825396826,0.01528036465421339,0.9866666666666668,0.9304761904761906
AOA,Leukemia,fitness,0.046965953247722944,0.015184665154905607,0.0212509661159338,0.0788285714285713
AOA,Leukemia,n_selected_features,3528.233333333333,145.18854025790816,3571.0,2875.0
COA,Leukemia,accuracy,0.9460000000000001,0.03388669930847024,0.9866666666666668,0.8057142857142857
COA,Leukemia,fitness,0.05536357509567806,0.0331157105526197,0.0146001680201623,0.1925108773052766
COA,Leukemia,n_selected_features,679.7666666666667,377.504673996083,1457.0,60.0
ECL-SCSO,Leukemia,accuracy,0.9660952380952381,0.0131864930092727,0.9866666666666668,0.943809523809524
ECL-SCSO,Leukemia,fitness,0.0382148321798615,0.01307081244696167,0.0180445813497619,0.0603891426971235
ECL-SCSO,Leukemia,n_selected_features,1660.2,202.04824506373058,1833.0,879.0
GA,Leukemia,accuracy,0.9526031746031747,0.0170574297093449,0.9857142857142858,0.916190476190476
GA,Leukemia,fitness,0.05201424144230631,0.016855059905003716,0.0192786734408128,0.0880876425171021
GA,Leukemia,n_selected_features,1818.1333333333334,29.62851479384157,1880.0,1759.0
GWO,Leukemia,accuracy,0.960126984126984,0.015152005489214115,0.9857142857142858,0.9295238095238096
GWO,Leukemia,fitness,0.0444735389580082,0.014984307802813485,0.0190798495819497,0.0747196223546824
GWO,Leukemia,n_selected_features,1785.2333333333333,33.915270241523295,1880.0,1725.0
HHO,Leukemia,accuracy,0.0453015873015873,0.17403723866873042,0.8323809523809524,0.0
HHO,Leukemia,fitness,0.9544889624088224,0.17470843749138865,0.1660660719286313,1.0
HHO,Leukemia,n_selected_features,1.5,7.894090616826404,44.0,0.0
OOA,Leukemia,accuracy,0.05107936507936508,0.1911215232094827,0.7666666666666666,0.0
